FECHA,confirmed,deaths,estimation,ratio,new confirmed,new deaths,new estimated,new ratio,new confirmed (7d),new deaths (7d),new estimated (7d),new ratio (7d)
2020-09-05,104564,3076,344600.0,0.30343586767266395,1078,31,3800.0,0.2836842105263158,1098.4285714285713,32.857142857142854,3157.1428571428573,0.34791855203619904
2020-09-06,105329,3107,347300.0,0.30327958537287647,765,31,2700.0,0.2833333333333333,1124.7142857142858,35.42857142857143,3128.5714285714284,0.3594977168949772
2020-09-07,106423,3149,350400.0,0.3037186073059361,1094,42,3100.0,0.3529032258064516,1113.142857142857,36.0,3128.5714285714284,0.3557990867579909
2020-09-08,107715,3186,353500.0,0.3047100424328147,1292,37,3100.0,0.4167741935483871,1127.2857142857142,38.42857142857143,3057.1428571428573,0.3687383177570093
2020-09-09,109045,3231,356500.0,0.3058765778401122,1330,45,3000.0,0.44333333333333336,1100.2857142857142,38.57142857142857,2971.4285714285716,0.3702884615384615
2020-09-10,110183,3263,359800.0,0.30623401889938856,1138,32,3300.0,0.34484848484848485,1101.7142857142858,38.857142857142854,2885.714285714286,0.3817821782178218
2020-09-11,111377,3314,362200.0,0.3075013804527885,1194,51,2400.0,0.4975,1077.2857142857142,37.0,2714.285714285714,0.39689473684210524
2020-09-12,112266,3346,365400.0,0.30724137931034484,889,32,3200.0,0.2778125,1036.0,37.142857142857146,2657.1428571428573,0.3898924731182795
2020-09-13,113041,3379,367500.0,0.3075945578231293,775,33,2100.0,0.36904761904761907,981.8571428571429,34.57142857142857,2557.1428571428573,0.3839664804469274
2020-09-14,113964,3408,369400.0,0.3085110990795885,923,29,1900.0,0.48578947368421055,960.5714285714286,34.42857142857143,2385.714285714286,0.4026347305389221
2020-09-15,114967,3446,372100.0,0.3089680193496372,1003,38,2700.0,0.37148148148148147,912.0,31.571428571428573,2271.4285714285716,0.40150943396226413
2020-09-16,115918,3473,374400.0,0.3096100427350427,951,27,2300.0,0.41347826086956524,899.1428571428571,31.285714285714285,2042.8571428571427,0.4401398601398602
